ID,cut_50.4,cut_44.8,cut_39.2,cut_33.6,cut_28,cut_22.4,cut_16.8,cut_11.2,cut_5.6,arath_genenames,arath_Entries,arath_Entry_names,arath_Protein_names,disruptions,tair_disruptions,lloyd2012_LOFs,arath_functions,arath_misc,pathway,unipathway,BioCyc,Reactome,BRENDA,kegg_pws,ec,arath_masses,arath_protein_names,arath_GO,devstages,tissues,tair,araport,Annotation,orysj_genenames,orysj_Entries,orysj_Entry_names,orysj_Protein_names,orysj_disruptions,orysj_functions,orysj_misc,Wheatgrass_SEC_03a_02012017,Wheatgrass_SEC_04a_02012017,Wheatgrass_SEC_05a_02022017,Wheatgrass_SEC_06a_02022017,Wheatgrass_SEC_07a_02022017,Wheatgrass_SEC_08a_02022017,Wheatgrass_SEC_09a_02032017,Wheatgrass_SEC_10a_02032017,Wheatgrass_SEC_11a_02032017,Wheatgrass_SEC_12b_02032017_170207042649,Wheatgrass_SEC_13a_02032017,Wheatgrass_SEC_14a_02032017,Wheatgrass_SEC_15a_02012017,Wheatgrass_SEC_16a_02022017,Wheatgrass_SEC_17a_02022017,Wheatgrass_SEC_18a_02022017,Wheatgrass_SEC_19a_02022017,Wheatgrass_SEC_20a_02022017,Wheatgrass_SEC_21a_02032017,Wheatgrass_SEC_22a_02032017,Wheatgrass_SEC_23b_02032017_170207003300,Wheatgrass_SEC_24a_02032017,Wheatgrass_SEC_25a_02032017,Wheatgrass_SEC_26a_02032017,Wheatgrass_SEC_27a_02012017,Wheatgrass_SEC_28a_02022017,Wheatgrass_SEC_29a_02022017,Wheatgrass_SEC_30a_02022017,Wheatgrass_SEC_31a_02022017,Wheatgrass_SEC_32a_02022017,Wheatgrass_SEC_33a_02032017,Wheatgrass_SEC_34a_02032017,Wheatgrass_SEC_35b_02032017_170207015100,Wheatgrass_SEC_36a_02032017,Wheatgrass_SEC_37a_02032017,Wheatgrass_SEC_38a_02032017,Wheatgrass_SEC_39a_02012017,Wheatgrass_SEC_40a_02022017,Wheatgrass_SEC_41a_02022017,Wheatgrass_SEC_42a_02022017,Wheatgrass_SEC_43a_02022017,Wheatgrass_SEC_44a_02032017,Wheatgrass_SEC_45a_02032017,Wheatgrass_SEC_47b_02032017_170207030854,Wheatgrass_SEC_48a_02032017,Wheatgrass_SEC_49a_02032017,Wheatgrass_SEC_50a_02032017,dendrogram_order
ENOG411DPQ6,2,4,4,4,4,4,4,4,4,"F11C1_110,MXA21.5","Q9SND9,Q9SNE0,Q9FH98,Q6DBD5,F4J0K7,A0A1I9LM25,F4J0K8","Y3028_ARATH,Q9SNE0_ARATH,Q9FH98_ARATH,Q6DBD5_ARATH,F4J0K7_ARATH,A0A1I9LM25_ARATH,F4J0K8_ARATH","Uncharacterized acetyltransferase At3g50280 (EC 2.3.1.-),Anthranilate N-hydroxycinnamoyl/benzoyltransferase-like protein (HXXXD-type acyl-transferase family protein),Anthranilate N-hydroxycinnamoyl/benzoyltransferase-like protein (HXXXD-type acyl-transferase family protein) (Putative anthranilate N-hydroxycinnamoyl/benzoyltransferase),At5g38130 (HXXXD-type acyl-transferase family protein),HXXXD-type acyl-transferase family protein",,,,,,,,"ARA:AT3G50280-MONOMER;,ARA:AT3G50270-MONOMER;,ARA:AT5G67150-MONOMER;,ARA:AT5G38130-MONOMER;",,,,2.3.1.-,"49960,49806,49940,52095,30743,35205,50249","Uncharacterized acetyltransferase At3g50280 (EC 2.3.1.-),Anthranilate N-hydroxycinnamoyl/benzoyltransferase-like protein (HXXXD-type acyl-transferase family protein),Anthranilate N-hydroxycinnamoyl/benzoyltransferase-like protein (HXXXD-type acyl-transferase family protein) (Putative anthranilate N-hydroxycinnamoyl/benzoyltransferase),At5g38130 (HXXXD-type acyl-transferase family protein),HXXXD-type acyl-transferase family protein","transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747],cytosol [GO:0005829]; transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]",,,"locus:2074790;,locus:2074775;,locus:2155558;,locus:2176672;,locus:2074805;,locus:2074820;","AT3G50280,AT3G50270,AT5G67150,AT5G38130,AT3G50290,AT3G50300",transferase family,"Os08g0111800 protein (Putative AER),Os08g0111300 protein (Putative AER) (cDNA clone:002-173-B07, full insert sequence),OSJNBa0069D17.14 protein (Os04g0374601 protein),Os08g0111500 protein,Os08g0112300 protein (Fragment),Os04g0374400 protein","Q6ZCD2,Q6ZC51,Q7XVL2,A0A0P0XAW5,A0A0P0XB42,A0A0N7KIX6","Q6ZCD2_ORYSJ,Q6ZC51_ORYSJ,Q7XVL2_ORYSJ,A0A0P0XAW5_ORYSJ,A0A0P0XB42_ORYSJ,A0A0N7KIX6_ORYSJ","Os08g0111800 OsJ_25791 OSNPB_080111800 P0498H04.14,Os08g0111300 Os08g0111300 OsJ_25790 OSNPB_080111300 P0007D08.43 P0498H04.4,OSJNBa0069D17.14 Os04g0374601 OSNPB_040374601,Os08g0111500 OSNPB_080111500,Os08g0112300 OSNPB_080112300,Os04g0374400 OSNPB_040374400",,,,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.4,1.0,0.6,0.2,0.0,0.2,0.0,0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0
ENOG411DPQI,2,2,8,8,8,8,8,8,8,"SPS1,SPS2","Q8S948,Q76FS5","SPS1_ARATH,SPS2_ARATH","Solanesyl diphosphate synthase 1 (AtSPS1) (EC 2.5.1.85) (All-trans-nonaprenyl-diphosphate synthase 1 (geranylgeranyl-diphosphate specific)),Solanesyl diphosphate synthase 2, chloroplastic (AtSPS2) (EC 2.5.1.85) (All-trans-nonaprenyl-diphosphate synthase 2 (geranylgeranyl-diphosphate specific))",,,,"FUNCTION: Involved in the solanesyl diphosphate biosynthesis in the endoplasmic reticulum. This isoprenoid side chain might be then transferred to the mitochondria for the synthesis of ubiquinone-9. Prefers geranylgeranyl diphosphate to farnesyl diphosphate as substrate. No activity with geranyl diphosphate or dimethylallyl diphosphate as substrate. {ECO:0000269|PubMed:12437513, ECO:0000269|PubMed:15653808}.,FUNCTION: Involved in providing solanesyl diphosphate for plastoquinone-9 formation. Prefers geranylgeranyl diphosphate to farnesyl diphosphate as substrate. No activity with geranyl diphosphate or dimethylallyl diphosphate as substrate. {ECO:0000269|PubMed:15653808, ECO:0000269|PubMed:15784989}.",,,,"ARA:AT1G78510-MONOMER;MetaCyc:AT1G78510-MONOMER;,ARA:AT1G17050-MONOMER;MetaCyc:AT1G17050-MONOMER;",,2.5.1.85;,,2.5.1.85,"44468,46045","Solanesyl diphosphate synthase 1 (AtSPS1) (EC 2.5.1.85) (All-trans-nonaprenyl-diphosphate synthase 1 (geranylgeranyl-diphosphate specific)),Solanesyl diphosphate synthase 2, chloroplastic (AtSPS2) (EC 2.5.1.85) (All-trans-nonaprenyl-diphosphate synthase 2 (geranylgeranyl-diphosphate specific))","endoplasmic reticulum [GO:0005783]; plastid [GO:0009536]; all-trans-nonaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific) activity [GO:0052924]; metal ion binding [GO:0046872]; trans-octaprenyltranstransferase activity [GO:0050347]; isoprenoid biosynthetic process [GO:0008299]; photosynthesis [GO:0015979]; plastoquinone biosynthetic process [GO:0010236],chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; plastid [GO:0009536]; all-trans-nonaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific) activity [GO:0052924]; metal ion binding [GO:0046872]; trans-octaprenyltranstransferase activity [GO:0050347]; isoprenoid biosynthetic process [GO:0008299]; photosynthesis [GO:0015979]; plastoquinone biosynthetic process [GO:0010236]",,TISSUE SPECIFICITY: Higher expression in leaves than in roots. {ECO:0000269|PubMed:15784989}.,"locus:2202940;,locus:2020362;","AT1G78510,AT1G17050",Solanesyl diphosphate synthase,"Solanesyl-diphosphate synthase 2, chloroplastic (OsSPS2) (EC 2.5.1.84) (All-trans-nonaprenyl-diphosphate synthase 2 (geranyl-diphosphate specific)),Probable solanesyl-diphosphate synthase 3, chloroplastic (OsSPS3) (EC 2.5.1.84) (Probable all-trans-nonaprenyl-diphosphate synthase 3 (geranyl-diphosphate specific)) (Fragment),Os12g0271700 protein,Os05g0582300 protein (Fragment)","Q75HZ9,Q0INZ4,A0A0P0Y8X5,A0A0P0WQS6","SPS2_ORYSJ,SPS3_ORYSJ,A0A0P0Y8X5_ORYSJ,A0A0P0WQS6_ORYSJ","SPS2 Os05g0582300 LOC_Os05g50550 OJ1651_G11.10 OsJ_19688 OSJNBb0035N21.17,SPS3 Os12g0271700 LOC_Os12g17320 OsJ_17673,Os12g0271700 OSNPB_120271700,Os05g0582300 OSNPB_050582300",,"FUNCTION: Involved in providing solanesyl diphosphate for plastoquinone-9 formation. Geranyl diphosphate is the preferred substrate. {ECO:0000269|PubMed:20421194}.,FUNCTION: Involved in providing solanesyl diphosphate for plastoquinone-9 formation. {ECO:0000250}.",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.9,1.0,0.7,0.5,0.3,0.5,0.2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ENOG411DPN2,2,2,8,8,8,8,33,35,38,CLMP1,O48802,PHOX2_ARATH,Protein CLMP1 (CLUMPED CHLOROPLASTS 1) (Protein MADB2) (Protein PHOX2) (Putative myosin adapter B2),"DISRUPTION PHENOTYPE: Normal constriction of plastids during division, but impaired separation, resulting in plastid clustering. The clumped-chloroplasts mutant phenotype is transient. In juvenile leaves, clustered chloroplasts are observed in almost all cells of the petiole, while in the oldest leaf, the phenotype is mostly absent (PubMed:22025705). Phox1, phox2, phox3 and phox4 quadruple mutants show a 70% reduction in root hair growth (PubMed:28096376). {ECO:0000269|PubMed:22025705, ECO:0000269|PubMed:28096376}.",,,"FUNCTION: Required for plastid separation and partitioning during cell division (PubMed:22025705). Not involved in plastid constriction or in the organization of cytoplasmic actin cables (PubMed:22025705). Contributes to polar growth of root hairs (PubMed:28096376). {ECO:0000269|PubMed:22025705, ECO:0000269|PubMed:28096376}.",,,,,,,,,82708,Protein CLMP1 (CLUMPED CHLOROPLASTS 1) (Protein MADB2) (Protein PHOX2) (Putative myosin adapter B2),cytosol [GO:0005829],,"TISSUE SPECIFICITY: Expressed in roots, stems, leaves, apex, flowers and seeds (PubMed:20856808). Detected throughout the petiole in juvenile and young leaves, but restricted to the petiole midvein in older leaves (PubMed:22025705). Expressed in hydathodes, at the base of the trichome, in the vascular cylinder of primary root and lateral root, in emerging lateral root primordia, in pollen and in developing embryos, but not in mature embryos (PubMed:22025705). {ECO:0000269|PubMed:20856808, ECO:0000269|PubMed:22025705}.",locus:2027104;,AT1G62390,domain-containing protein,Os09g0135400 protein (Fragment),A0A0P0XJ24,A0A0P0XJ24_ORYSJ,Os09g0135400 OSNPB_090135400,,,,0.3636363636363637,0.3636363636363637,0.5454545454545454,1.0,0.7272727272727273,0.4545454545454545,0.3636363636363637,0.4545454545454545,0.18181818181818185,0.2727272727272727,0.09090909090909093,0.18181818181818185,0.0,0.0,0.09090909090909093,0.0,0.0,0.09090909090909093,0.18181818181818185,0.4545454545454545,0.18181818181818185,0.09090909090909093,0.09090909090909093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909093,0.0,0,0.2727272727272727,0.0,0.09090909090909093,0.09090909090909093,0.18181818181818185,0.09090909090909093,0.09090909090909093,0.18181818181818185,0.0,0.09090909090909093,0.0,0.09090909090909093,0.0,0.09090909090909093,3.0
ENOG411DPQC,2,2,2,2,16,18,18,19,20,"SGT1A,SGT1B","Q9SUR9,Q9SUT5","SGT1A_ARATH,SGT1B_ARATH","Protein SGT1 homolog A (AtSGT1a) (Suppressor of G2 allele of SKP1 homolog A),Protein SGT1 homolog B (AtSGT1b) (Protein ENHANCED DOWNY MILDEW 1) (Protein ENHANCER OF TIR1-1 AUXIN RESISTANCE 3) (Suppressor of G2 allele of SKP1 homolog B)","DISRUPTION PHENOTYPE: Delay in flowering time. Plants loose R gene resistance mediated by RPP2, RPP4, RPP5 and RPP7, and show reduced response to auxin, jasmonate and coronatine, and enhanced tolerance to heat shock. {ECO:0000269|PubMed:11847308, ECO:0000269|PubMed:12034892, ECO:0000269|PubMed:12782725, ECO:0000269|PubMed:15976272, ECO:0000269|PubMed:18065690, ECO:0000269|PubMed:20854394}.","Mutant plants inoculated with Pseudomonas syringae pv. tomato are not different than inoculated wildtype,homozygous are embryo lethal arrested at the globular stage and do not undergo transition to heart stage,Examination under UV light of leaves inoculated with <i>Peronospora parasitica</i> revealed occasional plant cell death-associated autofluorescence.,Mutant displays a loss of RPP5 resistance.,Under microscopic analysis it was estimated that the hypersensitive response was disable by ~95% of pathogen inoculation sites in the mutant.,Examination under UV light of leaves inoculated with <i>Peronospora parasitica</i> did not reveal occasional plant cell death-associated autofluorescence.,The mutant exhibits a significant flg22-induced reduction in bacterial growth indicating that the gene is most probably not required for flg22-induced bacterial resistance.",Susceptible to downy mildew -E. Holub-2002,"FUNCTION: Functions in R gene-mediated resistance, but participates in a lower extent than SGT1B to RPP5-mediated resistance. Not required for RPM1, RPS2, RPS4 and RPS5-mediated resistance. Probably required for SCF-mediated ubiquitination, by coupling HSP90 to SCF complex for ubiquitination of HSP90 client proteins. {ECO:0000269|PubMed:16619029}.,FUNCTION: Involved in plant innate immunity. Is essential for resistance conferred by multiple R genes recognizing different oomycete pathogen isolates like avirulent H.parasitica (downy mildew). Contributes additively with RAR1 to RPP5-dependent resistance. Not required for RPM1, RPS2, RPS4 and RPS5-mediated resistance. Functions as negative regulator of RPS5 accumulation by assisting its degradation. May be involved in heat shock response by associating with HSC70-1 chaperone. Required for the SCF(TIR1)-mediated degradation of Aux/IAA proteins, but maybe not for SCF(TIR1) assembly or binding to its Aux/IAA substrates. Probably required for SCF-mediated ubiquitination, by coupling HSP90 to SCF complex for ubiquitination of HSP90 client proteins. Required for the coronatine/jasmonic acid-mediated signal transduction pathway. {ECO:0000269|PubMed:11847308, ECO:0000269|PubMed:12034892, ECO:0000269|PubMed:12782725, ECO:0000269|PubMed:15976272, ECO:0000269|PubMed:16619029, ECO:0000269|PubMed:18065690, ECO:0000269|PubMed:19304739, ECO:0000269|PubMed:20854394}.",,,,,R-ATH-844456;,,,,"39225,39762","Protein SGT1 homolog A (AtSGT1a) (Suppressor of G2 allele of SKP1 homolog A),Protein SGT1 homolog B (AtSGT1b) (Protein ENHANCED DOWNY MILDEW 1) (Protein ENHANCER OF TIR1-1 AUXIN RESISTANCE 3) (Suppressor of G2 allele of SKP1 homolog B)","nucleus [GO:0005634]; SCF ubiquitin ligase complex [GO:0019005]; cellular response to auxin stimulus [GO:0071365]; defense response [GO:0006952]; innate immune response [GO:0045087]; regulation of defense response to fungus, incompatible interaction [GO:2000072]; ubiquitin-dependent protein catabolic process [GO:0006511],cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; SCF ubiquitin ligase complex [GO:0019005]; auxin-activated signaling pathway [GO:0009734]; defense response to fungus [GO:0050832]; innate immune response [GO:0045087]; jasmonic acid mediated signaling pathway [GO:0009867]; negative regulation of seed germination [GO:0010187]; protein catabolic process [GO:0030163]; regulation of defense response to fungus, incompatible interaction [GO:2000072]; response to heat [GO:0009408]; ubiquitin-dependent protein catabolic process [GO:0006511]",,,"locus:2128404;,locus:2128278;","AT4G23570,AT4G11260",suppressor of G2 allele of SKP1,"Protein SGT1 homolog (OsSGT1) (Suppressor of G2 allele of SKP1 homolog),Os01g0624500 protein (Fragment)","Q0JL44,A0A0P0V5J2","SGT1_ORYSJ,A0A0P0V5J2_ORYSJ","SGT1 Os01g0624500 LOC_Os01g43540 OsJ_02663,Os01g0624500 OSNPB_010624500",,"FUNCTION: Involved in basal disease resistance to bacterial blight (X.oryzae). May act as positive regulator of basal defense. Probably required for SCF-mediated ubiquitination, by coupling HSP90 to SCF complex for ubiquitination of HSP90 client proteins. {ECO:0000269|PubMed:18257679}.",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666668,0.16666666666666666,0.43333333333333335,1.0,0.9333333333333332,0.5333333333333333,0.43333333333333335,0.2,0.3,0.16666666666666666,0.0,0,0.1,0.1,0.13333333333333333,0.2,0.2,0.1,0.03333333333333333,0.03333333333333333,0.1,0.0,0.0,0.0,0.0,0.03333333333333333,4.0
ENOG411DPN8,2,2,2,2,2,2,2,2,2,PUR2,P52420,PUR2_ARATH,"Phosphoribosylamine--glycine ligase, chloroplastic (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GARS) (Phosphoribosylglycinamide synthetase)",,,,,,PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; N(1)-(5-phospho-D-ribosyl)glycinamide from 5-phospho-alpha-D-ribose 1-diphosphate: step 2/2.,,ARA:AT1G09830-MONOMER;,R-ATH-73817;,,,6.3.4.13,56473,"Phosphoribosylamine--glycine ligase, chloroplastic (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GARS) (Phosphoribosylglycinamide synthetase)",chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoribosylamine-glycine ligase activity [GO:0004637]; 'de novo' IMP biosynthetic process [GO:0006189]; purine nucleobase biosynthetic process [GO:0009113],,,locus:2024321;,AT1G09830,phosphoribosylamine-glycine ligase,"Os08g0191200 protein (Putative glycinamide ribonucleotide synthetase) (cDNA clone:001-207-C06, full insert sequence) (cDNA clone:J013119I22, full insert sequence)",Q6YZX5,Q6YZX5_ORYSJ,Os08g0191200 Os08g0191200 OsJ_26312 OSJNBa0056O06.1 OSNPB_080191200 P0610E02.33,,,,0.0,0.04166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,1.0,1.0,0.25,0.04166666666666666,0.04166666666666666,0.0,0.0,0.0,0,0.0,0.0,0.0,0.20833333333333331,0.20833333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
ENOG411DPNX,2,2,2,2,2,22,25,26,27,,"Q9ZU67,Q9M065","PP162_ARATH,PP352_ARATH","Pentatricopeptide repeat-containing protein At2g18520, mitochondrial,Pentatricopeptide repeat-containing protein At4g36680, mitochondrial",,,,,,,,,,,,,"47328,46547","Pentatricopeptide repeat-containing protein At2g18520, mitochondrial,Pentatricopeptide repeat-containing protein At4g36680, mitochondrial","membrane [GO:0016020]; mitochondrion [GO:0005739]; endonuclease activity [GO:0004519]; RNA binding [GO:0003723]; mitochondrial mRNA modification [GO:0080156],mitochondrion [GO:0005739]; endonuclease activity [GO:0004519]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; mitochondrial mRNA modification [GO:0080156]",,,"locus:2046288;,locus:2115375;","AT2G18520,AT4G36680",Pentatricopeptide repeat-containing protein,"Membrane-associated salt-inducible protein like (Os02g0633200 protein) (cDNA clone:001-116-E03, full insert sequence)",Q6H7J7,Q6H7J7_ORYSJ,Os02g0633200 Os02g0633200 OJ1643_A10.16 OsJ_07630 OSNPB_020633200,,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
ENOG411DPNW,6,11,14,16,19,23,26,27,28,PRXIIF,"Q9M7T0,A0A1I9LRF4","PRX2F_ARATH,A0A1I9LRF4_ARATH","Peroxiredoxin-2F, mitochondrial (EC 1.11.1.15) (Peroxiredoxin IIF) (Thioredoxin peroxidase 2F),Peroxiredoxin IIF",,,,"FUNCTION: Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides. Reduces preferentially hydrogen peroxide rather than alkyl peroxides. May be involved in mitochondrial redox homeostasis. {ECO:0000269|PubMed:15632145}.","MISCELLANEOUS: The active site is a conserved redox-active cysteine residue, the peroxidatic cysteine (C(P)), which makes the nucleophilic attack on the peroxide substrate. The peroxide oxidizes the C(P)-SH to cysteine sulfenic acid (C(P)-SOH), which then reacts with another cysteine residue, the resolving cysteine (C(R)), to form a disulfide bridge. The disulfide is subsequently reduced by an appropriate electron donor to complete the catalytic cycle. In this 1-Cys peroxiredoxin, no C(R) is present and C(P) instead forms a disulfide with a cysteine from another protein or with a small thiol molecule. C(P) can be reactivated by glutathione or the mitochondrial glutaredoxin (Grx) or thioredoxin (Trx) systems. {ECO:0000305|PubMed:15632145}.",,,ARA:AT3G06050-MONOMER;,,,,1.11.1.15,"21445,19968","Peroxiredoxin-2F, mitochondrial (EC 1.11.1.15) (Peroxiredoxin IIF) (Thioredoxin peroxidase 2F),Peroxiredoxin IIF","mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; peroxidase activity [GO:0004601]; peroxiredoxin activity [GO:0051920]; cell redox homeostasis [GO:0045454]; response to cadmium ion [GO:0046686]; response to oxidative stress [GO:0006979],cell [GO:0005623]; oxidoreductase activity [GO:0016491]; cell redox homeostasis [GO:0045454]",,"TISSUE SPECIFICITY: Expressed in the whole plant. {ECO:0000269|PubMed:12913160, ECO:0000269|Ref.7}.",locus:2080374;,AT3G06050,peroxiredoxin activity,"Peroxiredoxin-2F, mitochondrial (EC 1.11.1.15) (Peroxiredoxin IIF) (Thioredoxin peroxidase 2F)",Q9SDD6,PRX2F_ORYSJ,PRXIIF Os01g0266600 LOC_Os01g16152 P0011D01.6 P0499C11.34,,"FUNCTION: Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides. Reduces preferentially hydrogen peroxide rather than alkyl peroxides. May be involved in mitochondrial redox homeostasis. {ECO:0000250|UniProtKB:Q9M7T0}.","MISCELLANEOUS: The active site is a conserved redox-active cysteine residue, the peroxidatic cysteine (C(P)), which makes the nucleophilic attack on the peroxide substrate. The peroxide oxidizes the C(P)-SH to cysteine sulfenic acid (C(P)-SOH), which then reacts with another cysteine residue, the resolving cysteine (C(R)), to form a disulfide bridge. The disulfide is subsequently reduced by an appropriate electron donor to complete the catalytic cycle. In this 1-Cys peroxiredoxin, no C(R) is present and C(P) instead forms a disulfide with a cysteine from another protein or with a small thiol molecule. C(P) can be reactivated by glutathione or the mitochondrial glutaredoxin (Grx) or thioredoxin (Trx) systems. {ECO:0000250|UniProtKB:Q9M7T0}.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,0.6,0.4,0.8,0.2,0,0.4,0.4,0.4,0.4,0.2,0.4,0.2,0.4,0.0,0.2,0.0,0.0,0.0,0.2,7.0
ENOG411DSYJ,6,11,14,24,29,35,41,46,52,NUP85,Q8RXH2,NUP85_ARATH,Nuclear pore complex protein NUP85 (Nuclear pore complex protein NUP75) (Nucleoporin 75) (Nucleoporin 85),,,,FUNCTION: Functions as component of the nuclear pore complex (NPC). {ECO:0000250}.,,,,,,,,,80849,Nuclear pore complex protein NUP85 (Nuclear pore complex protein NUP75) (Nucleoporin 75) (Nucleoporin 85),"nuclear envelope [GO:0005635]; nuclear pore outer ring [GO:0031080]; structural constituent of nuclear pore [GO:0017056]; mRNA export from nucleus [GO:0006406]; positive regulation of transcription, DNA-templated [GO:0045893]; protein import into nucleus [GO:0006606]",,,locus:2123757;,AT4G32910,Nuclear pore complex protein,Os01g0746200 protein (Putative nucleoporin Nup75),"Q8LIZ0,Q5JLX7","Q8LIZ0_ORYSJ,Q5JLX7_ORYSJ","Os01g0746200 OSJNBa0014K08.33-1 OSNPB_010746200,OSJNBa0014K08.33-2 Os01g0746200 OSNPB_010746200",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0
ENOG411DPPK,7,12,17,21,24,29,32,34,36,,"A0A1P8ATG0,F4ID59","A0A1P8ATG0_ARATH,F4ID59_ARATH",Protein kinase superfamily protein,,,,,,,,,,,,,"51799,62039",Protein kinase superfamily protein,"ATP binding [GO:0005524]; protein kinase activity [GO:0004672],kinase activity [GO:0016301]",,,locus:2009764;,AT1G65950,ABC1 family,"Os11g0549686 protein (Fragment),Os11g0549635 protein","A0A0P0Y336,A0A0P0Y374","A0A0P0Y336_ORYSJ,A0A0P0Y374_ORYSJ","Os11g0549686 OSNPB_110549686,Os11g0549635 OSNPB_110549635",,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
ENOG411DPNQ,7,12,16,20,23,28,31,33,35,MRG7.19,"A0A1P8B9R0,A0A1P8B9Q7,F4JWJ6,F4JWJ7","A0A1P8B9R0_ARATH,A0A1P8B9Q7_ARATH,F4JWJ6_ARATH,F4JWJ7_ARATH",Transcription regulator NOT2/NOT3/NOT5 family protein,,,,,,,,,,,,,"95625,89983,92952,93253",Transcription regulator NOT2/NOT3/NOT5 family protein,"CCR4-NOT core complex [GO:0030015]; nucleus [GO:0005634]; regulation of transcription, DNA-templated [GO:0006355],CCR4-NOT core complex [GO:0030015]; nucleus [GO:0005634]; P-body [GO:0000932]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; regulation of transcription, DNA-templated [GO:0006355]",,,locus:2172389;,AT5G18230,transcription regulator NOT2 NOT3 NOT5 family protein,"Not1 N-terminal domain, CCR4-Not complex component family protein, expressed (Os03g0652100 protein),Os03g0652600 protein","Q7XZZ2,A0A0P0W1E9","Q7XZZ2_ORYSJ,A0A0P0W1E9_ORYSJ","Os03g0652100 LOC_Os03g44900 Os03g0652100 OSJNBa0093M23.12 OSNPB_030652100,Os03g0652600 OSNPB_030652600",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
